Promoter,Category,GC%,twist,gc_content,purine
HBB_1,TATA,45.33,0.0618,0.0625,0.0215
TBP_2,TATA,42.50,0.0124,0.0093,0.0523
MYC_1,TATA,61.00,0.0169,0.0166,0.0331
FOS_1,TATA,65.17,0.0271,0.0300,0.0219
PCNA_1,TATA,58.50,0.0154,0.0233,0.0296
GAPDH_1,CpG,63.33,0.0287,0.0243,0.0359
ACTB_1,CpG,69.83,0.0388,0.0423,0.0157
EEF1A1_2,CpG,53.50,0.0252,0.0266,0.0498
RPS6_1,CpG,56.83,NA,0.0428,0.0376
UBB_2,CpG,57.17,0.0380,0.0362,0.0144
